7/22/2024,Swimming at Val's.,swimming.jpeg
7/28/2024,Getting those pictures from Mrs. Welker.,welker.jpeg
8/7/2024,Cliff jumping and swimming with my family., 
8/12/2024,The St. Louis trip: Grant's Farm and Puttshack.,puttshack.jpeg
9/10/2024,Cardinals-Reds game with Landon and your friend.,friend-card.jpeg
10/5/2024,"At Matt's sibling's wedding, watching Marnee in another room.",
10/6/2024,You hiding behind the Halloween decorations.,
10/13/2024,The pumpkin patch.,pumpkin.jpeg
10/13/2024,Carving pumpkins with Stella and Ava.,
11/7/2024,Another night at the Blues game.,
12/25/2024,When you got that dinosaur costume for Christmas.,
12/25/2024,All the Skip-Bo and Uno nights.,
1/3/2025,Going to the Garden Glow.,glow-garden.jpeg
1/24/2025,All the basketball games in Quincy.,
3/12/2025,The Canton state basketball game.,
3/13/2025,The state championship game.,
3/20/2025,Marnees first Blues Game,marnee-blues.jpeg
5/3/2025,"Golf simulator with Landon, Blake, and Noah.",
6/24/2025,"Another perfect day: Cardinals-Cubs, Cracker Barrel, and Topgolf.",2025cardinals.jpeg
7/5/2025,Our trip to Adventureland.,adventureland.jpeg
7/6/2025,Going to the John Deere Classic.,john-deere.jpeg
8/19/2025,Going to the driving range with Ryan and Steve.,
8/28/2025,QU football game.,
10/2/2025,The Balloon Glow again.,bloon-glow-2.jpeg
10/15/2025, This is only some of many memories we have had in the last 4 years together. I Love you Cora Kay! I hope you've had a great day!
